0.0	15
15.0	15.0
30.0	15.0
45.0	15.0
60.0	15.0
75.0	15.0
90	15
105	15
120	15
135	15
150	15
165	20
185	25
210	30.1
240.1	32.6
272.7	34.4
307.1	38.6
345.7	43.3
389	48.6
437.6	54.5
492.1	61.2
553.3	68.6
621.9	77
698.9	86.4
785.3	96.9
882.2	108.7
990.9	122
1112.9	136.9
1249.8	153.6
1403.4	172.4
1575.8	193.4
1769.2	217
1986.2	243.5
2229.7	273.2
2502.9	306.5
2809.4	343.9
3153.3	385.9
3539.2	432.9
3972.1	485.8
4457.9	545
5002.9	611.5
5614.4	686.2
6300.6	769.9
7070.5	863.8
7934.3	969.2
8903.5	1087.5
9991	1220.2
11211.2	1369.1
12580.3	1536.1
14116.4	1723.6
15840	1933.9
17773.9	2169.8
19943.7	2434.6
22378.3	2731.7
25110	3065
28175	3438.9
31613.9	3858.6
35472.5	4329.4
39801.9	4857.6
44659.5	5450.4
50109.9	6115.4
56225.3	6861.6
63086.9	7698.8
70785.7	8638.2
79423.9	9692.3
89116.2	10874.9
99991.1	12201.8
112192.9	13690.7
125883.6	15361.2
141244.8	17235.6
158480.4	19338.6
177819	21698.3
199517.3	24345.9
223863.2	27316.5
251179.7	30649.6
281829.3	34389.5
316218.8	38585.6
354804.4	43293.8
398098.2	48576.4
446674.6	54503.6
501178.2	61154.1
562332.3	68616
630948.3	76988.4
707936.7	86382.5
794319.2	96922.7
891241.9	108749.06
999990.96	122018.45
1122009.41	136906.96
1258916.37	153612.13
1412528.5	172355.65
1584884.15	193386.22
1778270.37	216982.9
1995253.27	243458.82
2238712.09	273165.29
2511877.38	306496.5
2818373.88	343894.73
3162268.61	385856.23
3548124.84	432937.81
3981062.65	485764.22
4466826.87	545036.41
5011863.28	611540.92
5623404.2	686160.19
6309564.39	769884.4
7079448.79	863824.5
7943273.29	969227.03
8912500.32	1.09E+06
9999990.32	1.22E+06
11220170.32	1.37E+06
12589240.32	1.54E+06
14125360.32	1.72E+06
15848920.32	1.93E+06
17782780.32	2.17E+06
19952610.32	2.43E+06
22387200.32	2.73E+06
25118850.32	3.06E+06
28183820.32	3.44E+06
31622770.32	3.86E+06
35481330.32	4.33E+06
39810710.32	4.86E+06
44668350.32	5.45E+06
50118710.32	6.12E+06
56234120.32	6.86E+06
63095720.32	7.70E+06
70794560.32	8.64E+06
79432810.32	9.69E+06
89125080.32	1.09E+07
99999980.32	1.22E+07
112201780.3	1.37E+07
125892480.3	1.54E+07
141253680.3	1.72E+07
158489280.3	1.93E+07
177827880.3	2.17E+07
199526180.3	2.43E+07
223872080.3	2.73E+07
251188580.3	3.06E+07
281838180.3	3.44E+07
316227680.3	3.86E+07
354813280.3	4.33E+07
398107080.3	4.86E+07
446683480.3	5.45E+07
501187080.3	6.12E+07
562341180.3	6.86E+07
630957180.3	7.70E+07
707945580.3	8.64E+07
794328080.3	9.69E+07
891250780.3	1.09E+08
